cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,nllb_noft_spBLEU_mean_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
7.439023384627393,17.35772393595971,11.805905370256443,125.2,52.6,87.6,147.8,155.0,90.4,17.4,,,78.4,72.4,306.2,144.0,113.2,558.6,79.2,221.0,213.4,79.0,82.8,379.8,103.6,216.4,262.2,,,,,,,,,,,,,,,0.14,51.2,0.0926357469122494,0.5426399495899127,0.5624981565314734,xho,True,False,False,False,False,False,False
4.008430644360637,3.0557915972665626,4.098353507222006,156.4,11.2,27.8,28.4,45.6,26.8,2.2,12.8,40.8,57.0,58.8,53.8,109.0,63.4,101.8,54.8,52.4,39.6,98.4,75.4,49.8,81.2,62.2,56.2,70.6,70.2,52.6,104.4,77.2,70.4,109.0,105.6,95.4,9.8,119.6,112.0,222.8,292.8,0.1,32.0,0.0617473179914573,0.0862693417764632,0.114651199377511,dik,False,True,True,True,True,True,True
7.484893791102749,20.94647069783334,13.280195845258657,101.0,44.0,78.0,137.0,137.0,71.0,16.0,,,65.0,51.0,266.0,123.0,80.0,425.0,71.0,150.0,176.0,94.0,69.0,331.0,92.0,142.0,206.0,,,,,,,,,,,,,,,0.1,32.0,0.051290809264828,0.0,0.0,dik,True,False,False,False,False,False,False
4.015671732640612,3.543539922720181,2.495257679098129,152.6,8.2,28.6,32.2,33.8,27.8,0.2,15.0,32.6,67.0,62.2,52.4,111.4,48.6,98.8,46.0,48.2,37.0,98.2,61.2,42.0,60.2,56.8,60.4,71.6,63.2,45.6,100.8,64.2,64.4,96.4,111.0,95.0,6.6,102.0,94.6,176.6,268.0,0.1,28.8,0.0686330240946352,0.155877003179004,0.1676224967862351,ltz,False,True,True,True,True,True,True
7.496122348494767,13.842456787872852,16.735141028393016,101.0,49.0,96.0,126.0,122.0,52.0,15.0,,,63.0,58.0,290.0,114.0,86.0,435.0,56.0,156.0,165.0,91.0,71.0,323.0,75.0,135.0,186.0,,,,,,,,,,,,,,,0.1,32.0,0.0302584600666162,1.7763568394002505e-15,0.0,ltz,True,False,False,False,False,False,False
3.9649416118337895,12.779670737690063,1.145260492277585,138.0,13.2,22.8,30.2,25.6,29.0,2.2,13.8,37.8,64.4,57.2,47.4,117.8,53.6,93.6,45.4,46.4,35.6,85.6,63.8,41.6,65.8,50.6,56.2,74.4,52.0,39.8,85.0,66.4,71.0,94.2,89.0,92.8,8.4,110.6,87.0,178.8,276.6,0.1,28.8,0.0693798592792635,0.2118381394814485,0.6011796727438601,lmo,False,True,True,True,True,True,True
7.484457371379941,6.0760842786567615,17.17737003155006,106.0,39.0,95.0,132.0,109.0,53.0,12.0,,,57.0,59.0,292.0,121.0,92.0,431.0,56.0,174.0,154.0,78.0,65.0,341.0,108.0,168.0,210.0,,,,,,,,,,,,,,,0.1,32.0,0.1080819405179107,0.0,0.0,lmo,True,False,False,False,False,False,False
3.943582610252554,12.5359332119715,16.053706407437378,142.6,8.2,17.4,35.8,24.4,18.0,0.6,11.6,30.2,69.8,39.6,37.8,85.8,42.2,106.2,47.4,60.8,47.8,106.6,54.8,37.8,74.0,59.2,46.4,55.2,59.8,48.2,80.0,65.0,57.4,120.6,100.4,103.0,6.0,108.8,82.6,190.0,294.2,0.1,28.8,0.0483699490666832,0.36469128334853,0.4733024697278452,fra,False,True,True,True,True,True,True
7.562942269945507,17.77150031389008,21.61391378951953,123.0,45.0,56.0,141.0,108.0,75.0,25.0,,,72.0,49.0,231.0,121.0,107.0,448.0,55.0,161.0,157.0,109.0,60.0,302.0,99.0,163.0,179.0,,,,,,,,,,,,,,,0.1,32.0,0.0702683829795162,0.0,0.0,fra,True,False,False,False,False,False,False
3.978472841080941,2.621550706145232,2.314071795139061,119.8,9.8,25.4,16.4,41.6,18.0,1.2,12.8,38.2,60.6,52.6,42.0,102.8,51.6,82.4,42.8,43.8,33.2,80.6,54.2,28.4,69.6,41.8,48.4,66.2,48.4,41.0,70.4,50.8,48.0,95.6,91.2,78.6,5.4,89.8,78.0,151.4,248.4,0.1,25.6,0.0597930570959064,0.1128245979149687,0.2560682452008812,tgl,False,True,True,True,True,True,True
7.42273907313685,13.625497537315605,13.020271557520951,105.0,47.0,89.0,150.0,132.0,65.0,15.0,,,55.0,55.0,260.0,122.0,72.0,436.0,61.0,147.0,157.0,70.0,70.0,283.0,101.0,153.0,208.0,,,,,,,,,,,,,,,0.1,32.0,0.0580851579844599,0.0,0.0,tgl,True,False,False,False,False,False,False
3.9574539154480775,2.600442042655565,6.895973124008845,171.0,8.4,31.6,23.2,33.6,31.4,0.0,17.4,44.4,67.2,68.2,49.4,102.0,53.0,105.2,49.2,54.8,44.0,101.8,81.4,51.6,67.2,64.4,52.8,82.0,66.6,47.4,88.4,79.2,69.6,112.8,116.6,91.0,8.6,112.6,101.6,195.4,295.2,0.1,32.0,0.0258665846815571,0.0690553919980682,0.0777856755672761,amh,False,True,True,True,True,True,True
7.360927029618975,11.187387893246344,17.483683259285954,107.0,41.0,77.0,141.0,121.0,51.0,19.0,,,58.0,62.0,264.0,114.0,90.0,433.0,41.0,161.0,136.0,79.0,68.0,333.0,98.0,168.0,202.0,,,,,,,,,,,,,,,0.1,32.0,0.0401801059430911,0.0,0.0,amh,True,False,False,False,False,False,False
4.040144868817569,5.1039552582426975,1.712613549215218,151.6,14.2,36.4,32.4,36.4,29.8,1.8,16.6,36.8,73.0,61.2,57.2,105.8,53.0,99.4,50.0,60.4,35.8,104.0,68.2,43.2,67.8,63.2,51.4,88.0,58.0,51.4,91.0,72.4,53.6,117.2,117.4,87.2,9.2,131.2,110.8,204.6,282.8,0.1,32.0,0.0325149465149198,0.0313729975506313,0.0152695841679375,guj,False,True,True,True,True,True,True
7.492736952113243,10.499335643985848,13.96265509391733,102.0,43.0,79.0,125.0,106.0,45.0,13.0,,,46.0,72.0,270.0,119.0,89.0,423.0,53.0,164.0,168.0,76.0,71.0,355.0,90.0,135.0,212.0,,,,,,,,,,,,,,,0.1,32.0,0.0758103850869915,0.0,0.0,guj,True,False,False,False,False,False,False
4.018690173362467,3.028154781900807,2.8196510049787853,157.0,12.6,36.0,38.4,35.0,23.0,1.2,11.0,48.2,80.2,62.2,62.0,118.6,52.4,90.6,47.4,57.6,46.6,91.0,69.8,47.8,79.2,63.6,61.0,82.8,66.4,46.8,104.8,65.0,71.8,116.6,108.4,96.4,10.6,125.8,104.2,198.6,294.0,0.1,32.0,0.0456321546122356,0.0509816889896893,0.036216566790223,hye,False,True,True,True,True,True,True
7.329578541000531,12.890892303026174,8.059714417359476,120.6,28.2,72.6,117.8,110.8,69.6,14.2,,,71.4,48.0,236.8,164.8,94.2,416.2,83.4,255.6,212.8,83.4,72.0,344.2,117.8,278.2,289.4,,,,,,,,,,,,,,,0.26,44.8,0.0735098791213175,1.5752940970493676,0.9806541185997292,hye,True,False,False,False,False,False,False
4.1129905276793925,11.352722597998234,10.752087822975556,117.8,10.4,20.8,17.4,25.0,25.2,0.8,17.6,31.0,54.4,55.2,41.4,66.4,46.2,87.4,23.6,49.0,30.8,73.8,53.6,29.4,58.0,34.6,38.0,34.8,39.4,37.6,71.2,45.4,39.0,88.6,61.0,60.0,4.4,76.4,78.0,156.8,217.6,0.1,22.4,0.0343002159786588,0.4767129351309268,0.1398767126704186,zho,False,True,True,True,True,True,True
7.506082318516475,14.363177328761209,16.211486000841234,124.0,34.0,81.0,121.0,127.0,85.0,6.0,,,57.0,62.0,236.0,119.0,74.0,439.0,56.0,162.0,171.0,83.0,55.0,342.0,76.0,130.0,190.0,,,,,,,,,,,,,,,0.1,32.0,0.1067507163904328,1.7763568394002505e-15,0.0,zho,True,False,False,False,False,False,False
3.9602805499588967,6.488835252426968,8.468172067558783,173.0,10.0,34.0,32.0,35.0,23.0,0.0,18.0,56.0,66.0,59.0,52.0,117.0,52.0,116.0,52.0,59.0,41.0,109.0,63.0,47.0,69.0,56.0,59.0,83.0,77.0,46.0,97.0,80.0,74.0,101.0,112.0,79.0,9.0,101.0,106.0,189.0,289.0,0.1,32.0,0.0601994211693988,8.881784197001252e-16,0.0,khm,False,True,True,True,True,True,True
7.365444638025285,12.420374301555992,16.917072983619327,97.0,42.0,82.0,131.0,129.0,61.0,20.0,,,73.0,68.0,276.0,119.0,79.0,450.0,45.0,147.0,154.0,78.0,69.0,335.0,73.0,128.0,180.0,,,,,,,,,,,,,,,0.1,32.0,0.0762585170003942,0.0,0.0,khm,True,False,False,False,False,False,False
3.9862096041115977,2.830414721927436,6.147665188171426,142.0,12.0,22.8,28.0,33.0,27.4,0.6,18.6,33.6,62.2,51.4,39.2,91.6,54.0,76.4,37.6,48.0,35.2,77.4,54.0,32.0,56.2,39.0,52.4,63.6,45.6,41.8,72.0,58.2,54.0,88.2,89.2,69.8,6.2,100.6,90.0,165.6,239.4,0.1,25.6,0.0584165104498593,0.3695009581987039,0.0739476603173976,tat,False,True,True,True,True,True,True
7.504518735891478,5.42666137591111,8.070709134385732,98.0,40.0,68.0,144.0,119.0,61.0,12.0,,,55.0,59.0,289.0,118.0,82.0,416.0,53.0,156.0,169.0,76.0,65.0,322.0,77.0,145.0,218.0,,,,,,,,,,,,,,,0.1,32.0,0.0770031212684639,0.0,0.0,tat,True,False,False,False,False,False,False
4.026888251798452,3.9097274590268674,1.5902186383277157,135.0,8.6,25.8,30.0,27.0,17.6,1.4,16.0,43.0,68.8,51.8,39.6,116.4,56.0,80.8,43.2,43.0,42.4,92.0,72.2,27.4,76.8,59.2,61.2,62.6,63.4,51.2,86.4,66.6,65.8,105.8,93.6,68.4,6.6,117.0,105.8,192.4,270.0,0.1,28.8,0.0701582444743801,0.1896152798371252,0.044677518258653,ibo,False,True,True,True,True,True,True
7.4730241692548915,16.754276070267522,23.188775931059155,110.0,42.0,86.0,124.0,107.0,52.0,13.0,,,53.0,59.0,251.0,99.0,94.0,446.0,64.0,157.0,148.0,76.0,68.0,331.0,103.0,176.0,188.0,,,,,,,,,,,,,,,0.1,32.0,0.0634904458684754,0.0,0.0,ibo,True,False,False,False,False,False,False
3.882494783013653,5.119881412058136,9.823577226437363,137.4,11.8,23.2,30.2,29.8,22.4,0.0,15.4,36.4,55.8,64.4,44.4,86.8,53.0,71.0,47.0,51.2,35.6,78.0,55.6,31.4,70.4,46.6,45.4,61.4,47.6,39.6,64.8,40.4,60.8,106.4,87.8,76.0,6.6,94.6,72.2,166.0,249.2,0.1,25.6,0.0662271569073603,0.5335185497433315,0.0990356602868953,kat,False,True,True,True,True,True,True
7.304633199206146,10.884608716778834,14.61404074761503,87.0,40.0,92.0,131.0,121.0,56.0,16.0,,,56.0,55.0,294.0,113.0,78.0,455.0,58.0,157.0,148.0,78.0,68.0,350.0,81.0,139.0,193.0,,,,,,,,,,,,,,,0.1,32.0,0.0831798242941509,0.0,1.7763568394002505e-15,kat,True,False,False,False,False,False,False
4.0020603412263,3.633045686653817,3.976368755087395,150.8,13.8,26.6,27.4,39.6,15.6,1.6,17.8,41.4,63.0,63.2,46.8,101.2,49.4,80.4,45.6,49.0,37.4,81.4,64.4,40.4,77.6,52.8,57.0,71.8,64.8,47.6,95.0,76.8,62.6,99.6,93.4,83.0,7.8,100.2,90.4,195.2,273.8,0.1,28.8,0.0522723384525595,0.19703484803757,0.0777732881134137,zul,False,True,True,True,True,True,True
7.513630142577419,13.950870790936204,15.532833350190852,98.0,41.0,71.0,114.0,124.0,67.0,13.0,,,54.0,68.0,271.0,129.0,73.0,411.0,54.0,160.0,150.0,81.0,67.0,307.0,103.0,144.0,214.0,,,,,,,,,,,,,,,0.1,32.0,0.0823495601386389,1.7763568394002505e-15,0.0,zul,True,False,False,False,False,False,False
3.989541560955493,3.150332392860692,5.736442347134164,171.0,10.0,34.0,32.0,40.0,27.0,2.0,15.0,39.0,71.0,50.0,58.0,110.0,49.0,107.0,41.0,72.0,52.0,85.0,65.0,54.0,82.0,44.0,43.0,81.0,92.0,49.0,91.0,84.0,70.0,120.0,106.0,86.0,9.0,130.0,98.0,191.0,291.0,0.1,32.0,0.0437276108945546,0.0,0.0,hne,False,True,True,True,True,True,True
7.478253603417241,7.922769803653393,12.242655572834115,105.0,46.0,80.0,138.0,101.0,57.0,12.0,,,57.0,61.0,275.0,122.0,96.0,422.0,58.0,141.0,141.0,73.0,64.0,328.0,68.0,140.0,212.0,,,,,,,,,,,,,,,0.1,32.0,0.100016593941117,0.0,0.0,hne,True,False,False,False,False,False,False
3.973487967134575,10.661349466412071,4.181556523887106,141.8,8.0,32.4,31.2,32.2,21.8,0.8,15.6,34.4,66.4,56.4,54.2,104.6,65.4,88.0,47.6,45.4,43.0,84.0,62.8,39.4,72.6,51.4,53.2,69.0,71.0,43.0,88.2,48.2,56.4,105.2,110.8,86.2,10.0,112.8,91.6,184.4,261.6,0.1,28.8,0.0640921119321388,0.0843541922763974,0.0219127779311921,oci,False,True,True,True,True,True,True
7.360686515045023,21.193804915760523,15.828041726304004,86.0,44.0,97.0,126.0,129.0,51.0,10.0,,,59.0,64.0,289.0,101.0,85.0,448.0,64.0,153.0,145.0,76.0,62.0,358.0,76.0,134.0,187.0,,,,,,,,,,,,,,,0.1,32.0,0.0886828355900084,0.0,1.7763568394002505e-15,oci,True,False,False,False,False,False,False
4.019327691962172,4.08375479154829,4.385254249942097,145.6,13.0,21.6,30.8,37.4,31.0,0.8,12.0,26.8,57.6,60.6,46.2,107.0,58.2,88.2,44.4,53.4,48.2,75.4,57.6,49.8,69.0,48.8,59.6,70.6,47.2,50.4,86.0,81.0,57.0,95.2,84.8,76.6,8.6,111.0,94.2,183.4,276.6,0.1,28.8,0.0835270212533746,0.130286988935757,0.1142038625196665,kaz,False,True,True,True,True,True,True
7.46472017682922,10.595899522828752,11.42438035519086,90.0,39.0,68.0,138.0,131.0,52.0,20.0,,,66.0,64.0,279.0,153.0,83.0,409.0,56.0,146.0,177.0,97.0,70.0,303.0,87.0,159.0,229.0,,,,,,,,,,,,,,,0.1,32.0,0.061828680253953,0.0,0.0,kaz,True,False,False,False,False,False,False
3.964286032604144,7.552059385560985,13.448784607703178,133.2,2.6,24.2,40.0,40.6,16.2,1.2,15.0,22.0,48.4,63.0,45.0,83.6,30.2,84.8,36.8,49.2,34.8,66.2,58.2,43.0,67.6,42.6,33.8,69.0,47.0,34.2,83.8,57.2,60.8,92.2,107.2,87.2,7.2,94.6,76.4,177.8,236.8,0.1,25.6,0.0562350714464134,0.0247529144023007,0.0567795103621645,deu,False,True,True,True,True,True,True
7.541014105863108,13.743557318288673,18.95909524731592,101.0,31.0,71.0,141.0,120.0,60.0,19.0,,,49.0,66.0,257.0,115.0,91.0,451.0,58.0,167.0,176.0,77.0,59.0,330.0,95.0,141.0,185.0,,,,,,,,,,,,,,,0.1,32.0,0.037213806720257,0.0,0.0,deu,True,False,False,False,False,False,False
4.036156249123971,2.08522378840122,4.598232739435429,134.4,12.2,27.0,20.2,31.6,22.6,1.2,15.8,34.8,59.0,47.4,44.6,93.2,54.2,76.2,49.8,40.4,35.8,88.0,66.6,43.4,60.6,38.2,48.0,61.4,47.6,41.6,90.6,58.2,54.0,93.6,86.6,65.4,6.4,94.0,77.6,165.6,248.6,0.1,25.6,0.0784123634199902,0.5584257528154929,2.1385869898981062,plt,False,True,True,True,True,True,True
7.502498821081895,4.764312806433297,17.54674457341191,97.0,32.0,70.0,131.0,127.0,48.0,11.0,,,58.0,55.0,284.0,130.0,79.0,459.0,71.0,169.0,155.0,72.0,61.0,307.0,101.0,155.0,211.0,,,,,,,,,,,,,,,0.1,32.0,0.0484530874662334,0.0,0.0,plt,True,False,False,False,False,False,False
4.037857483687759,5.147179633067635,4.784508656531849,130.0,8.0,23.4,23.8,24.6,19.4,0.8,11.2,36.0,55.2,58.0,43.8,95.0,43.0,89.6,40.2,57.4,27.4,84.6,54.0,34.0,62.6,58.4,52.6,66.2,60.6,51.0,71.8,56.0,56.2,86.8,86.4,87.2,4.6,75.4,79.4,163.2,229.6,0.1399999999999999,25.6,0.0311286228963252,0.3862385977469591,0.3417886639338708,afr,False,True,True,True,True,True,True
7.45084820958755,17.22622087909804,15.697188117359165,117.4,37.0,93.4,130.8,138.6,67.4,21.6,,,64.8,70.4,280.2,150.0,100.4,498.8,63.2,201.0,192.0,92.0,77.2,352.6,90.8,210.0,257.6,,,,,,,,,,,,,,,0.1399999999999999,44.8,0.0825180205956695,0.4884385329947692,0.7845159943892228,afr,True,False,False,False,False,False,False
3.9790239389082713,1.7088097827251487,3.067492181329025,148.8,11.8,29.6,30.8,27.4,25.4,0.8,15.0,39.4,75.4,67.2,58.4,112.0,59.4,95.6,58.0,61.8,55.0,87.0,61.8,46.2,79.4,56.6,60.6,70.0,58.6,48.8,99.4,77.6,68.0,102.8,109.2,84.8,8.0,118.4,118.4,210.8,299.4,0.1,32.0,0.0232849002926057,0.1150215168173056,0.286717139753314,snd,False,True,True,True,True,True,True
7.470626522329776,5.341343305355509,2.478943229179241,80.0,38.0,79.0,152.0,126.0,66.0,15.0,,,60.0,65.0,288.0,111.0,96.0,441.0,66.0,157.0,141.0,87.0,67.0,319.0,71.0,160.0,195.0,,,,,,,,,,,,,,,0.1,32.0,0.1044020585330224,0.0,0.0,snd,True,False,False,False,False,False,False
3.950022313563127,6.007817379868954,2.254878550411043,146.4,13.0,30.0,29.4,33.2,20.6,0.4,16.2,36.6,63.8,60.2,52.0,119.4,57.2,84.4,56.8,54.6,46.4,86.8,63.6,38.2,64.6,57.0,56.0,68.4,54.8,48.2,83.4,63.0,57.0,100.8,94.2,79.6,5.0,110.4,94.8,186.0,267.6,0.1,28.8,0.0371411418136834,0.6838082739890854,0.2609650209288572,fao,False,True,True,True,True,True,True
7.428555512810513,8.947517266574621,3.9297192930010953,81.0,45.0,80.0,146.0,119.0,61.0,13.0,,,49.0,69.0,256.0,132.0,85.0,439.0,51.0,150.0,169.0,81.0,61.0,341.0,75.0,156.0,215.0,,,,,,,,,,,,,,,0.1,32.0,0.0405507357004486,0.0,0.0,fao,True,False,False,False,False,False,False
3.998550034563989,3.515707801968066,2.4483184334386308,133.2,11.0,31.6,26.6,34.0,22.0,1.0,20.0,40.2,71.4,50.4,50.4,101.8,54.8,89.6,44.6,49.6,44.6,94.6,68.4,32.6,66.4,50.6,57.4,65.8,54.6,48.4,86.0,71.4,63.6,100.2,100.6,79.8,6.2,109.2,80.0,185.4,274.0,0.1,28.8,0.0430657802983233,0.4449065623553371,0.063604163504001,pan,False,True,True,True,True,True,True
7.481416319958305,10.377568222800802,11.986154073363773,90.0,39.0,93.0,122.0,128.0,65.0,11.0,,,53.0,76.0,268.0,119.0,96.0,434.0,56.0,153.0,144.0,86.0,74.0,333.0,86.0,161.0,214.0,,,,,,,,,,,,,,,0.1,32.0,0.0473690467086414,0.0,0.0,pan,True,False,False,False,False,False,False
3.973077859149227,3.2552146793675085,2.3252698666374183,166.4,11.0,28.4,19.8,36.6,27.0,1.4,15.4,44.6,70.2,58.6,58.4,111.0,57.4,93.0,58.2,57.4,44.4,103.8,88.2,40.0,79.2,66.8,63.6,82.2,69.0,49.4,93.0,80.2,61.0,108.8,105.6,101.0,9.6,115.0,98.0,188.4,290.2,0.1,32.0,0.0385519929174825,0.0937903259303048,0.1528020564827564,hau,False,True,True,True,True,True,True
7.427835793541743,10.055407777690435,13.120976782488013,91.0,42.0,89.0,137.0,140.0,67.0,16.0,,,65.0,58.0,269.0,124.0,78.0,450.0,65.0,145.0,165.0,78.0,78.0,337.0,83.0,131.0,197.0,,,,,,,,,,,,,,,0.1,32.0,0.0690491970204,0.0,0.0,hau,True,False,False,False,False,False,False
4.014544194532909,1.189821720758279,4.539233115712312,138.4,7.8,21.4,26.6,31.4,15.8,1.6,14.6,35.4,58.0,52.4,38.8,104.6,56.8,85.2,42.8,45.4,27.8,88.4,55.8,29.4,67.4,41.4,47.8,62.2,52.2,41.4,76.6,61.4,56.0,83.4,94.2,74.6,6.4,107.6,65.2,175.0,247.2,0.1,25.6,0.0639085335429903,0.1656385952979562,0.6433662292053562,arz,False,True,True,True,True,True,True
