Language,flores200_code,trimmed_code
Kabuverdianu,kea_Latn,kea
Khmer,khm_Khmr,khm
Kikuyu,kik_Latn,kik
Kinyarwanda,kin_Latn,kin
Kyrgyz,kir_Cyrl,kir
Kimbundu,kmb_Latn,kmb
Northern Kurdish,kmr_Latn,kmr
Kikongo,kon_Latn,kon
Korean,kor_Hang,kor
Lao,lao_Laoo,lao
Ligurian,lij_Latn,lij
Limburgish,lim_Latn,lim
Lingala,lin_Latn,lin
Lithuanian,lit_Latn,lit
Lombard,lmo_Latn,lmo
Latgalian,ltg_Latn,ltg
Luxembourgish,ltz_Latn,ltz
Luba-Kasai,lua_Latn,lua
Ganda,lug_Latn,lug
Luo,luo_Latn,luo
Mizo,lus_Latn,lus
Standard Latvian,lvs_Latn,lvs
Magahi,mag_Deva,mag
Maithili,mai_Deva,mai
Malayalam,mal_Mlym,mal
Marathi,mar_Deva,mar
Minangkabau (Latin script),min_Latn,min
Macedonian,mkd_Cyrl,mkd
Plateau Malagasy,plt_Latn,plt
Maltese,mlt_Latn,mlt
Meitei (Bengali script),mni_Beng,mni
Halh Mongolian,khk_Cyrl,khk
Mossi,mos_Latn,mos
Maori,mri_Latn,mri
Burmese,mya_Mymr,mya
Dutch,nld_Latn,nld
Norwegian Nynorsk,nno_Latn,nno
Norwegian Bokmål,nob_Latn,nob
Nepali,npi_Deva,npi
Northern Sotho,nso_Latn,nso
Nuer,nus_Latn,nus
Nyanja,nya_Latn,nya
Occitan,oci_Latn,oci
West Central Oromo,gaz_Latn,gaz
Odia,ory_Orya,ory
Pangasinan,pag_Latn,pag
Eastern Panjabi,pan_Guru,pan
Papiamento,pap_Latn,pap
Western Persian,pes_Arab,pes
Polish,pol_Latn,pol
Portuguese,por_Latn,por
Dari,prs_Arab,prs
Southern Pashto,pbt_Arab,pbt
Ayacucho Quechua,quy_Latn,quy
Romanian,ron_Latn,ron
Rundi,run_Latn,run
Russian,rus_Cyrl,rus
Sango,sag_Latn,sag
Sanskrit,san_Deva,san
Santali,sat_Olck,sat
Sicilian,scn_Latn,scn
Shan,shn_Mymr,shn
Sinhala,sin_Sinh,sin
Slovak,slk_Latn,slk
Slovenian,slv_Latn,slv
Samoan,smo_Latn,smo
Shona,sna_Latn,sna
Sindhi,snd_Arab,snd
Somali,som_Latn,som
Southern Sotho,sot_Latn,sot
Spanish,spa_Latn,spa
Tosk Albanian,als_Latn,als
Sardinian,srd_Latn,srd
Serbian,srp_Cyrl,srp
Swati,ssw_Latn,ssw
Sundanese,sun_Latn,sun
Swedish,swe_Latn,swe
Swahili,swh_Latn,swh
Silesian,szl_Latn,szl
Tamil,tam_Taml,tam
Tatar,tat_Cyrl,tat
Telugu,tel_Telu,tel
Tajik,tgk_Cyrl,tgk
Tagalog,tgl_Latn,tgl
Thai,tha_Thai,tha
Tigrinya,tir_Ethi,tir
Tamasheq (Latin script),taq_Latn,taq
Tamasheq (Tifinagh script),taq_Tfng,taq
Tok Pisin,tpi_Latn,tpi
Tswana,tsn_Latn,tsn
Tsonga,tso_Latn,tso
Turkmen,tuk_Latn,tuk
Tumbuka,tum_Latn,tum
Turkish,tur_Latn,tur
Twi,twi_Latn,twi
Central Atlas Tamazight,tzm_Tfng,tzm
Uyghur,uig_Arab,uig
Ukrainian,ukr_Cyrl,ukr
Umbundu,umb_Latn,umb
Urdu,urd_Arab,urd
Northern Uzbek,uzn_Latn,uzn
Venetian,vec_Latn,vec
Vietnamese,vie_Latn,vie
Waray,war_Latn,war
Wolof,wol_Latn,wol
Xhosa,xho_Latn,xho
Eastern Yiddish,ydd_Hebr,ydd
Yoruba,yor_Latn,yor
Chinese (Simplified),zho_Hans,zho
Standard Malay,zsm_Latn,zsm
Zulu,zul_Latn,zul
Ambon,abs_Latn,abs
Batak,btk_Latn,btk
Betawi,bew_Latn,bew
Bima,bhp_Latn,bhp
Madurese,mad_Latn,mad
Makassarese,mak_Latn,mak
Palembang,mui_Latn,mui
Rejang,rej_Latn,rej
